ISIN,ausstiegskosten,bezugsverhaeltnis,einstiegskosten,erstelldatum,gesamtkosten_0,relative_gesamtkosten_0,risikoklasse,gesamtkosten_1,relative_gesamtkosten_1,gesamtkosten_2,relative_gesamtkosten_2
DE000CA3HU05,"0,00","0,01","0,04",27. April 2019,"4,46","0,04",1,,,,
DE000CA3HU13,"0,00","0,01","0,04",11. Mai 2019,"4,12","0,04",1,,,,
DE000CA3HU21,"0,00","0,01","0,04",18. Mai 2019,"4,10","0,04",1,,,,
DE000CA3HU39,"0,00","0,01","0,03",28. Mai 2019,"3,06","0,03",1,,,,
DE000CA3HU47,"0,00","0,01","0,04",29. Mai 2019,"3,85","0,04",1,,,,
DE000CA3HU54,"0,00","0,01","0,04",29. Mai 2019,"3,87","0,04",1,,,,
DE000CA3HU62,"0,00","0,01","0,04",4. Juni 2019,"3,76","0,04",1,,,,
DE000CA3HU70,"0,00","0,01","0,04",4. Juni 2019,"3,76","0,04",1,,,,
DE000CA3HU88,"0,00","0,01","0,04",4. Juni 2019,"3,79","0,04",1,,,,
DE000CA3HU96,"0,00","0,01","0,05",30. Mai 2019,"4,79","0,05",1,,,,
DE000CA3HUT2,"0,00","0,01","0,05",3. April 2019,"4,98","0,05",1,,,,
DE000CA3HUU0,"0,00","0,01","0,05",9. April 2019,"4,60","0,05",1,,,,
DE000CA3HUV8,"0,00","0,01","0,06",10. April 2019,"5,78","0,06",1,,,,
DE000CA3HUW6,"0,00","0,01","0,06",16. April 2019,"5,54","0,06",1,,,,
DE000CA3HUX4,"0,00","0,01","0,06",19. April 2019,"5,62","0,06",1,,,,
DE000CA3HUY2,"0,00","0,01","0,06",19. April 2019,"5,55","0,06",1,,,,
DE000CA3HUZ9,"0,00","0,01","0,05",24. April 2019,"4,54","0,05",1,,,,
DE000CA3HV04,"0,00","0,01","0,04",6. August 2019,"3,46","0,04",2,,,,
DE000CA3HV12,"0,00","0,01","0,03",3. September 2019,"2,55","0,03",2,,,,
DE000CA3HV20,"0,00","0,01","0,03",10. September 2019,"3,09","0,03",2,,,,
DE000CA3HV38,"0,00","0,01","0,03",28. September 2019,"2,80","0,03",2,,,,
DE000CA3HV46,"0,00","0,01","0,02",1. Oktober 2019,"1,81","0,02",2,,,,
DE000CA3HV53,"0,00","0,01","0,02",8. Oktober 2019,"1,76","0,02",2,,,,
DE000CA3HV61,"0,00","0,01","0,02",15. Oktober 2019,"1,60","0,02",2,,,,
DE000CA3HV79,"0,00","0,01","0,03",13. April 2019,"3,40","0,03",3,,,,
DE000CA3HV87,"0,00","0,01","0,04",24. April 2019,"3,50","0,04",3,,,,
DE000CA3HV95,"0,00","0,01","0,04",24. April 2019,"4,39","0,04",3,,,,
DE000CA3HVA0,"0,00","0,01","0,05",6. Juni 2019,"4,68","0,05",1,,,,
DE000CA3HVB8,"0,00","0,01","0,05",8. Juni 2019,"4,63","0,05",1,,,,
DE000CA3HVC6,"0,00","0,01","0,05",15. Juni 2019,"4,57","0,05",1,,,,
DE000CA3HVD4,"0,00","0,01","0,03",25. Juni 2019,"3,36","0,03",1,,,,
DE000CA3HVE2,"0,00","0,01","0,03",25. Juni 2019,"3,35","0,03",1,,,,
DE000CA3HVF9,"0,00","0,01","0,03",26. Juni 2019,"2,57","0,03",1,,,,
DE000CA3HVG7,"0,00","0,01","0,04",3. Juli 2019,"4,27","0,04",1,,,,
DE000CA3HVH5,"0,00","0,01","0,03",9. Juli 2019,"3,13","0,03",1,,,,
DE000CA3HVJ1,"0,00","0,01","0,04",16. Juli 2019,"4,07","0,04",1,,,,
DE000CA3HVK9,"0,00","0,01","0,04",2. August 2019,"3,83","0,04",1,,,,
DE000CA3HVL7,"0,00","0,01","0,04",10. August 2019,"3,71","0,04",1,,,,
DE000CA3HVM5,"0,00","0,01","0,03",22. August 2019,"2,57","0,03",1,,,,
DE000CA3HVN3,"0,00","0,01","0,03",29. August 2019,"3,48","0,03",1,,,,
DE000CA3HVP8,"0,00","0,01","0,03",4. September 2019,"3,33","0,03",1,,,,
DE000CA3HVQ6,"0,00","0,01","0,03",11. September 2019,"3,26","0,03",1,,,,
DE000CA3HVR4,"0,00","0,01","0,03",27. September 2019,"3,03","0,03",1,,,,
DE000CA3HVS2,"0,00","0,01","0,03",27. September 2019,"3,02","0,03",1,,,,
DE000CA3HVT0,"0,00","0,01","0,03",2. Oktober 2019,"2,89","0,03",1,,,,
DE000CA3HVU8,"0,00","0,01","0,03",12. Oktober 2019,"2,74","0,03",1,,,,
DE000CA3HVV6,"0,00","0,01","0,03",28. Juni 2019,"3,07","0,03",2,,,,
DE000CA3HVW4,"0,00","0,01","0,04",9. Juli 2019,"3,93","0,04",2,,,,
DE000CA3HVX2,"0,00","0,01","0,04",12. Juli 2019,"3,85","0,04",2,,,,
DE000CA3HVY0,"0,00","0,01","0,04",16. Juli 2019,"3,78","0,04",2,,,,
DE000CA3HVZ7,"0,00","0,01","0,03",26. Juli 2019,"2,74","0,03",2,,,,
DE000CA3HW03,"0,00","0,01","0,04",20. Februar 2019,"4,04","0,04",4,,,,
DE000CA3HW11,"0,00","0,01","0,04",20. Februar 2019,"3,95","0,04",4,,,,
DE000CA3HW29,"0,00","0,01","0,05",20. Februar 2019,"4,54","0,05",4,,,,
DE000CA3HW37,"0,00","0,01","0,04",20. Februar 2019,"3,84","0,04",4,,,,
DE000CA3HW45,"0,00","0,01","0,05",20. Februar 2019,"4,55","0,05",4,,,,
DE000CA3HW52,"0,00","0,01","0,03",20. Februar 2019,"3,01","0,03",4,,,,
DE000CA3HW60,"0,00","0,01","0,04",20. Februar 2019,"3,94","0,04",4,,,,
DE000CA3HW78,"0,00","0,01","0,04",20. Februar 2019,"3,90","0,04",4,,,,
DE000CA3HW86,"0,00","0,01","0,04",20. Februar 2019,"3,83","0,04",4,,,,
DE000CA3HW94,"0,00","0,01","0,05",20. Februar 2019,"4,36","0,05",4,,,,
DE000CA3HWA8,"0,00","0,01","0,04",4. Mai 2019,"4,22","0,04",3,,,,
DE000CA3HWB6,"0,00","0,01","0,04",7. Mai 2019,"4,10","0,04",3,,,,
DE000CA3HWC4,"0,00","0,01","0,04",18. Mai 2019,"3,63","0,04",3,,,,
