Exchange Date;Close
23-Okt-2019;12.756,960
22-Okt-2019;12.754,690
21-Okt-2019;12.747,960
18-Okt-2019;12.633,600
17-Okt-2019;12.654,950
16-Okt-2019;12.670,110
15-Okt-2019;12.629,790
14-Okt-2019;12.486,560
11-Okt-2019;12.511,650
10-Okt-2019;12.164,200
09-Okt-2019;12.094,260
08-Okt-2019;11.970,200
07-Okt-2019;12.097,430
04-Okt-2019;12.012,810
02-Okt-2019;11.925,250
01-Okt-2019;12.263,830
30-Sep-2019;12.428,080
27-Sep-2019;12.380,940
26-Sep-2019;12.288,540
25-Sep-2019;12.234,180
24-Sep-2019;12.307,150
23-Sep-2019;12.342,330
20-Sep-2019;12.468,010
19-Sep-2019;12.457,700
18-Sep-2019;12.389,620
17-Sep-2019;12.372,610
16-Sep-2019;12.380,310
13-Sep-2019;12.468,530
12-Sep-2019;12.410,250
11-Sep-2019;12.359,070
10-Sep-2019;12.268,710
09-Sep-2019;12.226,100
06-Sep-2019;12.191,730
05-Sep-2019;12.126,780
04-Sep-2019;12.025,040
03-Sep-2019;11.910,860
02-Sep-2019;11.953,780
30-Aug-2019;11.939,280
29-Aug-2019;11.838,880
28-Aug-2019;11.701,020
27-Aug-2019;11.730,020
26-Aug-2019;11.658,040
23-Aug-2019;11.611,510
22-Aug-2019;11.747,040
21-Aug-2019;11.802,850
20-Aug-2019;11.651,180
19-Aug-2019;11.715,370
16-Aug-2019;11.562,740
15-Aug-2019;11.412,670
14-Aug-2019;11.492,660
13-Aug-2019;11.750,130
12-Aug-2019;11.679,680
09-Aug-2019;11.693,800
08-Aug-2019;11.845,410
07-Aug-2019;11.650,150
06-Aug-2019;11.567,960
05-Aug-2019;11.658,510
02-Aug-2019;11.872,440
01-Aug-2019;12.253,150
31-Jul-2019;12.189,040
30-Jul-2019;12.147,240
29-Jul-2019;12.417,470
26-Jul-2019;12.419,900
25-Jul-2019;12.362,100
24-Jul-2019;12.522,890
23-Jul-2019;12.490,740
22-Jul-2019;12.289,400
19-Jul-2019;12.260,070
18-Jul-2019;12.227,850
17-Jul-2019;12.341,030
16-Jul-2019;12.430,970
15-Jul-2019;12.387,340
12-Jul-2019;12.323,320
11-Jul-2019;12.332,120
10-Jul-2019;12.373,410
09-Jul-2019;12.436,550
08-Jul-2019;12.543,510
05-Jul-2019;12.568,530
04-Jul-2019;12.629,900
03-Jul-2019;12.616,240
02-Jul-2019;12.526,720
01-Jul-2019;12.521,380
28-Jun-2019;12.398,800
27-Jun-2019;12.271,030
26-Jun-2019;12.245,320
25-Jun-2019;12.228,440
24-Jun-2019;12.274,570
21-Jun-2019;12.339,920
20-Jun-2019;12.355,390
19-Jun-2019;12.308,530
18-Jun-2019;12.331,750
17-Jun-2019;12.085,820
14-Jun-2019;12.096,400
13-Jun-2019;12.169,050
12-Jun-2019;12.115,680
11-Jun-2019;12.155,810
07-Jun-2019;12.045,380
06-Jun-2019;11.953,140
05-Jun-2019;11.980,810
04-Jun-2019;11.971,170
03-Jun-2019;11.792,810
31-Mai-2019;11.726,840
30-Mai-2019;11.902,080
29-Mai-2019;11.837,810
28-Mai-2019;12.027,050
27-Mai-2019;12.071,180
24-Mai-2019;12.011,040
23-Mai-2019;11.952,410
22-Mai-2019;12.168,740
21-Mai-2019;12.143,470
20-Mai-2019;12.041,290
17-Mai-2019;12.238,940
16-Mai-2019;12.310,370
15-Mai-2019;12.099,570
14-Mai-2019;11.991,620
13-Mai-2019;11.876,650
10-Mai-2019;12.059,830
09-Mai-2019;11.973,920
08-Mai-2019;12.179,930
07-Mai-2019;12.092,740
06-Mai-2019;12.286,880
03-Mai-2019;12.412,750
02-Mai-2019;12.345,420
30-Apr-2019;12.344,080
29-Apr-2019;12.328,020
26-Apr-2019;12.315,180
25-Apr-2019;12.282,600
24-Apr-2019;12.313,160
23-Apr-2019;12.235,510
18-Apr-2019;12.222,390
17-Apr-2019;12.153,070
16-Apr-2019;12.101,320
15-Apr-2019;12.020,280
12-Apr-2019;11.999,930
11-Apr-2019;11.935,200
10-Apr-2019;11.905,910
09-Apr-2019;11.850,570
08-Apr-2019;11.963,400
05-Apr-2019;12.009,750
04-Apr-2019;11.988,010
03-Apr-2019;11.954,400
02-Apr-2019;11.754,790
01-Apr-2019;11.681,990
29-Mrz-2019;11.526,040
28-Mrz-2019;11.428,160
27-Mrz-2019;11.419,040
26-Mrz-2019;11.419,480
25-Mrz-2019;11.346,650
22-Mrz-2019;11.364,170
21-Mrz-2019;11.549,960
20-Mrz-2019;11.603,890
19-Mrz-2019;11.788,410
18-Mrz-2019;11.657,060
15-Mrz-2019;11.685,690
14-Mrz-2019;11.587,470
13-Mrz-2019;11.572,410
12-Mrz-2019;11.524,170
11-Mrz-2019;11.543,480
08-Mrz-2019;11.457,840
07-Mrz-2019;11.517,800
06-Mrz-2019;11.587,630
05-Mrz-2019;11.620,740
04-Mrz-2019;11.592,660
01-Mrz-2019;11.601,680
28-Feb-2019;11.515,640
27-Feb-2019;11.487,330
26-Feb-2019;11.540,790
25-Feb-2019;11.505,390
22-Feb-2019;11.457,700
21-Feb-2019;11.423,280
20-Feb-2019;11.401,970
19-Feb-2019;11.309,210
18-Feb-2019;11.299,200
15-Feb-2019;11.299,800
14-Feb-2019;11.089,790
13-Feb-2019;11.167,220
12-Feb-2019;11.126,080
11-Feb-2019;11.014,590
08-Feb-2019;10.906,780
07-Feb-2019;11.022,020
06-Feb-2019;11.324,720
05-Feb-2019;11.367,980
04-Feb-2019;11.176,580
01-Feb-2019;11.180,660
31-Jan-2019;11.173,100
30-Jan-2019;11.181,660
29-Jan-2019;11.218,830
28-Jan-2019;11.210,310
25-Jan-2019;11.281,790
24-Jan-2019;11.130,180
23-Jan-2019;11.071,540
22-Jan-2019;11.090,110
21-Jan-2019;11.136,200
18-Jan-2019;11.205,540
17-Jan-2019;10.918,620
16-Jan-2019;10.931,240
15-Jan-2019;10.891,790
14-Jan-2019;10.855,910
11-Jan-2019;10.887,460
10-Jan-2019;10.921,590
09-Jan-2019;10.893,320
08-Jan-2019;10.803,980
07-Jan-2019;10.747,810
04-Jan-2019;10.767,690
03-Jan-2019;10.416,660
02-Jan-2019;10.580,190
28-Dez-2018;10.558,960
27-Dez-2018;10.381,510
21-Dez-2018;10.633,820
20-Dez-2018;10.611,100
19-Dez-2018;10.766,210
