ISIN,Cap,Bewertungstag,Emittent,Brief,Geld
DE000JP4PK25,12250.00,20.12.19,J.P. Morgan,120.92,120.91
DE000JP4QTD3,13100.00,20.12.19,J.P. Morgan,125.76,125.75
DE000JP4QTE1,12100.00,20.12.19,J.P. Morgan,119.74,119.73
DE000JP4QTF8,13000.00,20.12.19,J.P. Morgan,125.41,125.40
DE000JP4QTG6,12900.00,20.12.19,J.P. Morgan,124.99,124.98
DE000JP4QTH4,12400.00,20.12.19,J.P. Morgan,122.03,122.02
DE000JP4QTJ0,12600.00,20.12.19,J.P. Morgan,123.38,123.37
DE000JP4QTK8,11900.00,20.12.19,J.P. Morgan,118.07,118.06
DE000JP4QTL6,10800.00,20.12.19,J.P. Morgan,107.88,107.87
DE000JP4QTM4,10700.00,20.12.19,J.P. Morgan,106.91,106.90
DE000JP4QTN2,10900.00,20.12.19,J.P. Morgan,108.85,108.84
DE000JP4QTP7,11100.00,20.12.19,J.P. Morgan,110.77,110.76
DE000JP4S338,12500.00,20.12.19,J.P. Morgan,122.73,122.72
DE000JP4S346,11500.00,20.12.19,J.P. Morgan,114.51,114.50
DE000JP4S353,12000.00,20.12.19,J.P. Morgan,118.91,118.90
DE000JP52EP5,11800.00,20.12.19,J.P. Morgan,117.20,117.19
DE000JP52EQ3,11200.00,20.12.19,J.P. Morgan,111.72,111.71
DE000JP52ER1,11400.00,20.12.19,J.P. Morgan,113.59,113.58
DE000JP52ES9,11300.00,20.12.19,J.P. Morgan,112.66,112.65
DE000JP52ET7,11700.00,20.12.19,J.P. Morgan,116.32,116.31
DE000JP52EU5,11000.00,20.12.19,J.P. Morgan,109.81,109.80
DE000JP52EV3,11600.00,20.12.19,J.P. Morgan,115.42,115.41
DE000JP52EW1,10400.00,20.12.19,J.P. Morgan,103.98,103.97
DE000JP52EX9,10200.00,20.12.19,J.P. Morgan,102.01,102.00
DE000JP52EY7,10300.00,20.12.19,J.P. Morgan,102.99,102.98
DE000JP52EZ4,10500.00,20.12.19,J.P. Morgan,104.96,104.95
DE000JP52F04,10600.00,20.12.19,J.P. Morgan,105.94,105.93
DE000JP52F12,10100.00,20.12.19,J.P. Morgan,101.02,101.01
DE000JP52F20,10000.00,20.12.19,J.P. Morgan,100.03,100.02
DE000JP549P7,12700.00,20.12.19,J.P. Morgan,123.98,123.97
DE000JP549Q5,12800.00,20.12.19,J.P. Morgan,124.52,124.51
DE000JP549R3,9700.00,20.12.19,J.P. Morgan,97.04,97.03
DE000JP549S1,9900.00,20.12.19,J.P. Morgan,99.04,99.03
DE000JP549T9,9800.00,20.12.19,J.P. Morgan,98.04,98.03
DE000JP549U7,9300.00,20.12.19,J.P. Morgan,93.05,93.04
DE000JP549V5,9400.00,20.12.19,J.P. Morgan,94.05,94.04
DE000JP549W3,9600.00,20.12.19,J.P. Morgan,96.05,96.04
DE000JP549X1,9500.00,20.12.19,J.P. Morgan,95.04,95.03
DE000JP549Y9,9200.00,20.12.19,J.P. Morgan,92.05,92.04
DE000JP549Z6,9000.00,20.12.19,J.P. Morgan,90.06,90.05
DE000JP54A07,9100.00,20.12.19,J.P. Morgan,91.06,91.05
DE000JP5P323,13400.00,20.12.19,J.P. Morgan,126.41,126.40
DE000JP5P331,13500.00,20.12.19,J.P. Morgan,126.52,126.51
DE000JP5P349,13600.00,20.12.19,J.P. Morgan,126.59,126.58
DE000JP5P356,13200.00,20.12.19,J.P. Morgan,126.04,126.03
DE000JP5P364,13300.00,20.12.19,J.P. Morgan,126.25,126.24
DE000JP5P372,8900.00,20.12.19,J.P. Morgan,89.06,89.05
DE000JP5P380,8400.00,20.12.19,J.P. Morgan,84.06,84.05
DE000JP5P398,8500.00,20.12.19,J.P. Morgan,85.06,85.05
DE000JP5P3A5,8700.00,20.12.19,J.P. Morgan,87.06,87.05
DE000JP5P3B3,8800.00,20.12.19,J.P. Morgan,88.06,88.05
DE000JP5P3C1,8300.00,20.12.19,J.P. Morgan,83.06,83.05
DE000JP5P3D9,8600.00,20.12.19,J.P. Morgan,86.07,86.06
DE000JP5P3E7,8100.00,20.12.19,J.P. Morgan,81.06,81.05
DE000JP5P3F4,8200.00,20.12.19,J.P. Morgan,82.06,82.05
DE000JP65GN7,7600.00,20.12.19,J.P. Morgan,76.06,76.05
DE000JP65GQ0,7800.00,20.12.19,J.P. Morgan,78.06,78.05
DE000JP65GR8,7700.00,20.12.19,J.P. Morgan,77.06,77.05
DE000JP65GS6,8000.00,20.12.19,J.P. Morgan,80.06,80.05
DE000JP65GT4,7900.00,20.12.19,J.P. Morgan,79.06,79.05
DE000JP8B1B0,11250.00,19.06.20,J.P. Morgan,110.49,110.48
DE000JP8EK24,12200.00,20.12.19,J.P. Morgan,120.53,120.52
DE000JP8EK32,11950.00,20.12.19,J.P. Morgan,118.49,118.48
DE000JP8EK40,11850.00,20.12.19,J.P. Morgan,117.64,117.63
DE000JP8EK57,12150.00,20.12.19,J.P. Morgan,120.14,120.13
DE000JP8EK65,12050.00,20.12.19,J.P. Morgan,119.33,119.32
DE000JP8EK73,11650.00,20.12.19,J.P. Morgan,115.87,115.86
DE000JP8EK81,11750.00,20.12.19,J.P. Morgan,116.76,116.75
DE000JP8EKG2,11150.00,20.12.19,J.P. Morgan,111.24,111.23
DE000JP8EKH0,11250.00,20.12.19,J.P. Morgan,112.19,112.18
