,Datum,Einstiegskosten,Ausstiegskosten,Portfolio Transaktionskosten,Sonstige laufende Kosten,ISIN
0,26.09.2019,"0,01%",-,-,"0,00%",DE000DD0NYR8
1,30.07.2019,"0,01%",-,-,"0,00%",DE000DD0NYR8
2,16.01.2019,"0,03%",-,-,"0,00%",DE000DD0NYR8
3,15.01.2019,"56406,05%",-,-,"0,00%",DE000DD0NYR8
4,08.01.2019,"0,04%",-,-,"0,00%",DE000DD0NYR8
5,01.12.2018,"0,05%",-,-,"0,00%",DE000DD0NYR8
6,10.11.2018,"0,04%",-,-,"0,00%",DE000DD0NYR8
7,09.11.2018,"0,06%",-,-,"0,00%",DE000DD0NYR8
8,01.11.2018,"0,05%",-,-,"0,00%",DE000DD0NYR8
9,26.10.2018,"0,04%",-,-,"0,00%",DE000DD0NYR8
10,23.10.2018,"0,06%",-,-,"0,00%",DE000DD0NYR8
11,20.10.2018,"0,05%",-,-,"0,00%",DE000DD0NYR8
12,06.10.2018,"0,06%",-,-,"0,00%",DE000DD0NYR8
13,01.09.2018,"0,07%",-,-,"0,00%",DE000DD0NYR8
14,03.04.2018,"0,04%",-,-,"0,00%",DE000DD0NYR8
15,06.02.2018,"0,04%",-,-,"0,00%",DE000DD0NYR8
16,21.01.2018,"0,05%",-,-,"0,00%",DE000DD0NYR8
17,16.01.2018,"0,05%",-,-,"0,00%",DE000DD0NYR8
18,16.01.2018,"0,05%",-,-,"0,00%",DE000DD0NYR8
19,13.01.2018,"0,05%",-,-,"0,00%",DE000DD0NYR8
20,10.01.2018,"0,05%",-,-,"0,00%",DE000DD0NYR8
21,04.01.2018,"0,06%",-,-,"0,00%",DE000DD0NYR8
22,03.01.2018,"0,06%",-,-,"0,00%",DE000DD0NYR8
23,26.09.2019,"0,01%",-,-,"0,00%",DE000DD2U759
24,30.07.2019,"0,02%",-,-,"0,00%",DE000DD2U759
25,08.01.2019,"0,05%",-,-,"0,00%",DE000DD2U759
26,01.12.2018,"0,06%",-,-,"0,00%",DE000DD2U759
27,10.11.2018,"0,05%",-,-,"0,00%",DE000DD2U759
28,09.11.2018,"0,07%",-,-,"0,00%",DE000DD2U759
29,01.11.2018,"0,07%",-,-,"0,00%",DE000DD2U759
30,26.10.2018,"0,04%",-,-,"0,00%",DE000DD2U759
31,23.10.2018,"0,07%",-,-,"0,00%",DE000DD2U759
32,20.10.2018,"0,07%",-,-,"0,00%",DE000DD2U759
33,06.10.2018,"0,06%",-,-,"0,00%",DE000DD2U759
34,01.09.2018,"0,07%",-,-,"0,00%",DE000DD2U759
35,03.04.2018,"0,03%",-,-,"0,00%",DE000DD2U759
36,06.02.2018,"0,03%",-,-,"0,00%",DE000DD2U759
37,19.01.2018,"0,05%",-,-,"0,00%",DE000DD2U759
38,16.01.2018,"0,05%",-,-,"0,00%",DE000DD2U759
39,15.01.2018,"0,05%",-,-,"0,00%",DE000DD2U759
40,13.01.2018,"0,05%",-,-,"0,00%",DE000DD2U759
41,10.01.2018,"0,04%",-,-,"0,00%",DE000DD2U759
42,04.01.2018,"0,05%",-,-,"0,00%",DE000DD2U759
43,03.01.2018,"0,05%",-,-,"0,00%",DE000DD2U759
44,26.09.2019,"0,00%",-,-,"0,00%",DE000DD2U767
45,30.07.2019,"0,01%",-,-,"0,00%",DE000DD2U767
46,08.01.2019,"0,05%",-,-,"0,00%",DE000DD2U767
47,01.12.2018,"0,05%",-,-,"0,00%",DE000DD2U767
48,10.11.2018,"0,05%",-,-,"0,00%",DE000DD2U767
49,09.11.2018,"0,07%",-,-,"0,00%",DE000DD2U767
50,01.11.2018,"0,06%",-,-,"0,00%",DE000DD2U767
51,26.10.2018,"0,03%",-,-,"0,00%",DE000DD2U767
52,23.10.2018,"0,07%",-,-,"0,00%",DE000DD2U767
53,20.10.2018,"0,06%",-,-,"0,00%",DE000DD2U767
54,06.10.2018,"0,06%",-,-,"0,00%",DE000DD2U767
55,01.09.2018,"0,07%",-,-,"0,00%",DE000DD2U767
56,03.04.2018,"0,04%",-,-,"0,00%",DE000DD2U767
57,06.02.2018,"0,04%",-,-,"0,00%",DE000DD2U767
58,21.01.2018,"0,05%",-,-,"0,00%",DE000DD2U767
59,16.01.2018,"0,05%",-,-,"0,00%",DE000DD2U767
60,15.01.2018,"0,05%",-,-,"0,00%",DE000DD2U767
61,13.01.2018,"0,05%",-,-,"0,00%",DE000DD2U767
62,10.01.2018,"0,05%",-,-,"0,00%",DE000DD2U767
63,04.01.2018,"0,06%",-,-,"0,00%",DE000DD2U767
64,03.01.2018,"0,06%",-,-,"0,00%",DE000DD2U767
65,26.09.2019,"0,00%",-,-,"0,00%",DE000DD2U775
66,30.07.2019,"0,01%",-,-,"0,00%",DE000DD2U775
67,08.01.2019,"0,03%",-,-,"0,00%",DE000DD2U775
68,01.12.2018,"0,04%",-,-,"0,00%",DE000DD2U775
69,10.11.2018,"0,03%",-,-,"0,00%",DE000DD2U775
70,09.11.2018,"0,05%",-,-,"0,00%",DE000DD2U775
71,01.11.2018,"0,05%",-,-,"0,00%",DE000DD2U775
72,26.10.2018,"0,03%",-,-,"0,00%",DE000DD2U775
73,23.10.2018,"0,05%",-,-,"0,00%",DE000DD2U775
74,20.10.2018,"0,04%",-,-,"0,00%",DE000DD2U775
75,06.10.2018,"0,05%",-,-,"0,00%",DE000DD2U775
76,01.09.2018,"0,06%",-,-,"0,00%",DE000DD2U775
77,03.04.2018,"0,05%",-,-,"0,00%",DE000DD2U775
78,06.02.2018,"0,05%",-,-,"0,00%",DE000DD2U775
79,21.01.2018,"0,06%",-,-,"0,00%",DE000DD2U775
80,16.01.2018,"0,06%",-,-,"0,00%",DE000DD2U775
81,16.01.2018,"0,05%",-,-,"0,00%",DE000DD2U775
82,13.01.2018,"0,05%",-,-,"0,00%",DE000DD2U775
83,10.01.2018,"0,05%",-,-,"0,00%",DE000DD2U775
84,04.01.2018,"0,06%",-,-,"0,00%",DE000DD2U775
85,03.01.2018,"0,06%",-,-,"0,00%",DE000DD2U775
86,26.09.2019,"0,00%",-,-,"0,00%",DE000DD2U783
87,30.07.2019,"0,01%",-,-,"0,00%",DE000DD2U783
88,08.01.2019,"0,04%",-,-,"0,00%",DE000DD2U783
89,01.12.2018,"0,04%",-,-,"0,00%",DE000DD2U783
90,10.11.2018,"0,03%",-,-,"0,00%",DE000DD2U783
91,09.11.2018,"0,05%",-,-,"0,00%",DE000DD2U783
92,01.11.2018,"0,04%",-,-,"0,00%",DE000DD2U783
93,26.10.2018,"0,02%",-,-,"0,00%",DE000DD2U783
94,23.10.2018,"0,05%",-,-,"0,00%",DE000DD2U783
95,20.10.2018,"0,04%",-,-,"0,00%",DE000DD2U783
96,06.10.2018,"0,05%",-,-,"0,00%",DE000DD2U783
97,01.09.2018,"0,06%",-,-,"0,00%",DE000DD2U783
98,03.04.2018,"0,05%",-,-,"0,00%",DE000DD2U783
99,06.02.2018,"0,05%",-,-,"0,00%",DE000DD2U783
100,21.01.2018,"0,06%",-,-,"0,00%",DE000DD2U783
101,16.01.2018,"0,06%",-,-,"0,00%",DE000DD2U783
102,15.01.2018,"0,05%",-,-,"0,00%",DE000DD2U783
103,13.01.2018,"0,05%",-,-,"0,00%",DE000DD2U783
104,10.01.2018,"0,05%",-,-,"0,00%",DE000DD2U783
105,04.01.2018,"0,06%",-,-,"0,00%",DE000DD2U783
106,03.01.2018,"0,06%",-,-,"0,00%",DE000DD2U783
107,26.09.2019,"0,00%",-,-,"0,00%",DE000DD2U791
108,30.07.2019,"0,01%",-,-,"0,00%",DE000DD2U791
109,08.01.2019,"0,04%",-,-,"0,00%",DE000DD2U791
110,01.12.2018,"0,04%",-,-,"0,00%",DE000DD2U791
111,10.11.2018,"0,02%",-,-,"0,00%",DE000DD2U791
112,09.11.2018,"0,04%",-,-,"0,00%",DE000DD2U791
113,01.11.2018,"0,04%",-,-,"0,00%",DE000DD2U791
114,26.10.2018,"0,02%",-,-,"0,00%",DE000DD2U791
115,23.10.2018,"0,05%",-,-,"0,00%",DE000DD2U791
116,20.10.2018,"0,04%",-,-,"0,00%",DE000DD2U791
117,06.10.2018,"0,05%",-,-,"0,00%",DE000DD2U791
118,01.09.2018,"0,06%",-,-,"0,00%",DE000DD2U791
119,03.04.2018,"0,05%",-,-,"0,00%",DE000DD2U791
120,06.02.2018,"0,05%",-,-,"0,00%",DE000DD2U791
121,19.01.2018,"0,06%",-,-,"0,00%",DE000DD2U791
122,16.01.2018,"0,06%",-,-,"0,00%",DE000DD2U791
123,15.01.2018,"0,06%",-,-,"0,00%",DE000DD2U791
124,13.01.2018,"0,06%",-,-,"0,00%",DE000DD2U791
125,10.01.2018,"0,05%",-,-,"0,00%",DE000DD2U791
126,04.01.2018,"0,07%",-,-,"0,00%",DE000DD2U791
127,03.01.2018,"0,07%",-,-,"0,00%",DE000DD2U791
128,26.09.2019,"0,00%",-,-,"0,00%",DE000DD2VYE5
129,30.07.2019,"0,01%",-,-,"0,00%",DE000DD2VYE5
130,08.01.2019,"0,03%",-,-,"0,00%",DE000DD2VYE5
131,01.12.2018,"0,03%",-,-,"0,00%",DE000DD2VYE5
132,10.11.2018,"0,01%",-,-,"0,00%",DE000DD2VYE5
133,09.11.2018,"0,04%",-,-,"0,00%",DE000DD2VYE5
134,01.11.2018,"0,04%",-,-,"0,00%",DE000DD2VYE5
135,26.10.2018,"0,02%",-,-,"0,00%",DE000DD2VYE5
136,23.10.2018,"0,04%",-,-,"0,00%",DE000DD2VYE5
137,20.10.2018,"0,03%",-,-,"0,00%",DE000DD2VYE5
138,06.10.2018,"0,04%",-,-,"0,00%",DE000DD2VYE5
139,01.09.2018,"0,05%",-,-,"0,00%",DE000DD2VYE5
140,03.04.2018,"0,05%",-,-,"0,00%",DE000DD2VYE5
141,06.02.2018,"0,05%",-,-,"0,00%",DE000DD2VYE5
142,19.01.2018,"0,06%",-,-,"0,00%",DE000DD2VYE5
143,16.01.2018,"0,06%",-,-,"0,00%",DE000DD2VYE5
144,15.01.2018,"0,06%",-,-,"0,00%",DE000DD2VYE5
145,15.01.2018,"0,06%",-,-,"0,00%",DE000DD2VYE5
146,13.01.2018,"0,06%",-,-,"0,00%",DE000DD2VYE5
147,10.01.2018,"0,05%",-,-,"0,00%",DE000DD2VYE5
148,04.01.2018,"0,07%",-,-,"0,00%",DE000DD2VYE5
149,03.01.2018,"0,07%",-,-,"0,00%",DE000DD2VYE5
150,26.09.2019,"0,00%",-,-,"0,00%",DE000DD4VFT8
151,30.07.2019,"0,01%",-,-,"0,00%",DE000DD4VFT8
152,08.01.2019,"0,04%",-,-,"0,00%",DE000DD4VFT8
153,01.12.2018,"0,05%",-,-,"0,00%",DE000DD4VFT8
154,10.11.2018,"0,04%",-,-,"0,00%",DE000DD4VFT8
155,09.11.2018,"0,06%",-,-,"0,00%",DE000DD4VFT8
156,01.11.2018,"0,04%",-,-,"0,00%",DE000DD4VFT8
157,26.10.2018,"0,03%",-,-,"0,00%",DE000DD4VFT8
158,23.10.2018,"0,07%",-,-,"0,00%",DE000DD4VFT8
159,20.10.2018,"0,05%",-,-,"0,00%",DE000DD4VFT8
160,06.10.2018,"0,06%",-,-,"0,00%",DE000DD4VFT8
161,01.09.2018,"0,07%",-,-,"0,00%",DE000DD4VFT8
162,03.04.2018,"0,03%",-,-,"0,00%",DE000DD4VFT8
163,06.02.2018,"0,03%",-,-,"0,00%",DE000DD4VFT8
164,25.01.2018,"0,02%",-,-,"0,00%",DE000DD4VFT8
165,26.09.2019,"0,04%",-,-,"0,00%",DE000DDD9R32
166,24.09.2019,"0,04%",-,-,"0,00%",DE000DDD9R32
167,30.07.2019,"0,04%",-,-,"0,00%",DE000DDD9R32
168,26.03.2019,"0,08%",-,-,"0,00%",DE000DDD9R32
169,19.02.2019,"0,07%",-,-,"0,00%",DE000DDD9R32
170,01.12.2018,"0,91%",-,-,"0,00%",DE000DDD9R32
171,10.11.2018,"0,86%",-,-,"0,00%",DE000DDD9R32
172,09.11.2018,"0,86%",-,-,"0,00%",DE000DDD9R32
173,01.11.2018,"0,85%",-,-,"0,00%",DE000DDD9R32
174,26.10.2018,"0,85%",-,-,"0,00%",DE000DDD9R32
175,23.10.2018,"0,84%",-,-,"0,00%",DE000DDD9R32
176,20.10.2018,"0,83%",-,-,"0,00%",DE000DDD9R32
177,06.10.2018,"0,80%",-,-,"0,00%",DE000DDD9R32
178,01.09.2018,"0,74%",-,-,"0,00%",DE000DDD9R32
179,08.08.2018,"0,71%",-,-,"0,00%",DE000DDD9R32
180,22.10.2019,"0,03%",-,-,"0,00%",DE000DDD9R40
181,26.09.2019,"0,04%",-,-,"0,00%",DE000DDD9R40
182,30.07.2019,"0,05%",-,-,"0,00%",DE000DDD9R40
183,26.03.2019,"0,08%",-,-,"0,00%",DE000DDD9R40
184,19.02.2019,"0,06%",-,-,"0,00%",DE000DDD9R40
185,01.12.2018,"0,91%",-,-,"0,00%",DE000DDD9R40
186,10.11.2018,"0,86%",-,-,"0,00%",DE000DDD9R40
187,09.11.2018,"0,87%",-,-,"0,00%",DE000DDD9R40
188,01.11.2018,"0,85%",-,-,"0,00%",DE000DDD9R40
189,26.10.2018,"0,85%",-,-,"0,00%",DE000DDD9R40
190,23.10.2018,"0,84%",-,-,"0,00%",DE000DDD9R40
191,20.10.2018,"0,83%",-,-,"0,00%",DE000DDD9R40
192,06.10.2018,"0,80%",-,-,"0,00%",DE000DDD9R40
193,01.09.2018,"0,74%",-,-,"0,00%",DE000DDD9R40
194,08.08.2018,"0,71%",-,-,"0,00%",DE000DDD9R40
195,26.09.2019,"0,05%",-,-,"0,00%",DE000DDD9R57
196,30.07.2019,"0,05%",-,-,"0,00%",DE000DDD9R57
197,04.07.2019,"0,05%",-,-,"0,00%",DE000DDD9R57
198,26.03.2019,"0,08%",-,-,"0,00%",DE000DDD9R57
199,19.02.2019,"0,07%",-,-,"0,00%",DE000DDD9R57
200,01.12.2018,"0,92%",-,-,"0,00%",DE000DDD9R57
201,10.11.2018,"0,87%",-,-,"0,00%",DE000DDD9R57
202,09.11.2018,"0,87%",-,-,"0,00%",DE000DDD9R57
203,01.11.2018,"0,85%",-,-,"0,00%",DE000DDD9R57
204,26.10.2018,"0,86%",-,-,"0,00%",DE000DDD9R57
205,23.10.2018,"0,84%",-,-,"0,00%",DE000DDD9R57
206,20.10.2018,"0,84%",-,-,"0,00%",DE000DDD9R57
207,06.10.2018,"0,80%",-,-,"0,00%",DE000DDD9R57
208,01.09.2018,"0,74%",-,-,"0,00%",DE000DDD9R57
209,08.08.2018,"0,71%",-,-,"0,00%",DE000DDD9R57
210,26.09.2019,"0,05%",-,-,"0,00%",DE000DDD9R65
211,30.07.2019,"0,05%",-,-,"0,00%",DE000DDD9R65
212,04.07.2019,"0,05%",-,-,"0,00%",DE000DDD9R65
213,26.03.2019,"0,08%",-,-,"0,00%",DE000DDD9R65
214,19.02.2019,"0,07%",-,-,"0,00%",DE000DDD9R65
215,01.12.2018,"0,92%",-,-,"0,00%",DE000DDD9R65
216,10.11.2018,"0,87%",-,-,"0,00%",DE000DDD9R65
217,09.11.2018,"0,87%",-,-,"0,00%",DE000DDD9R65
218,01.11.2018,"0,85%",-,-,"0,00%",DE000DDD9R65
219,26.10.2018,"0,86%",-,-,"0,00%",DE000DDD9R65
220,23.10.2018,"0,84%",-,-,"0,00%",DE000DDD9R65
221,20.10.2018,"0,83%",-,-,"0,00%",DE000DDD9R65
222,06.10.2018,"0,80%",-,-,"0,00%",DE000DDD9R65
223,01.09.2018,"0,75%",-,-,"0,00%",DE000DDD9R65
224,08.08.2018,"0,71%",-,-,"0,00%",DE000DDD9R65
225,26.09.2019,"0,05%",-,-,"0,00%",DE000DDD9R73
226,30.07.2019,"0,06%",-,-,"0,00%",DE000DDD9R73
227,26.03.2019,"0,08%",-,-,"0,00%",DE000DDD9R73
228,19.02.2019,"0,07%",-,-,"0,00%",DE000DDD9R73
229,01.12.2018,"0,92%",-,-,"0,00%",DE000DDD9R73
230,10.11.2018,"0,87%",-,-,"0,00%",DE000DDD9R73
231,09.11.2018,"0,87%",-,-,"0,00%",DE000DDD9R73
232,01.11.2018,"0,86%",-,-,"0,00%",DE000DDD9R73
233,26.10.2018,"0,86%",-,-,"0,00%",DE000DDD9R73
234,23.10.2018,"0,85%",-,-,"0,00%",DE000DDD9R73
235,20.10.2018,"0,84%",-,-,"0,00%",DE000DDD9R73
236,06.10.2018,"0,81%",-,-,"0,00%",DE000DDD9R73
237,01.09.2018,"0,75%",-,-,"0,00%",DE000DDD9R73
238,14.08.2018,"0,72%",-,-,"0,00%",DE000DDD9R73
239,26.09.2019,"0,05%",-,-,"0,00%",DE000DDD9R81
240,30.07.2019,"0,05%",-,-,"0,00%",DE000DDD9R81
241,26.03.2019,"0,08%",-,-,"0,00%",DE000DDD9R81
242,19.02.2019,"0,06%",-,-,"0,00%",DE000DDD9R81
243,01.12.2018,"0,91%",-,-,"0,00%",DE000DDD9R81
244,10.11.2018,"0,88%",-,-,"0,00%",DE000DDD9R81
245,09.11.2018,"0,88%",-,-,"0,00%",DE000DDD9R81
246,01.11.2018,"0,86%",-,-,"0,00%",DE000DDD9R81
247,26.10.2018,"0,87%",-,-,"0,00%",DE000DDD9R81
248,23.10.2018,"0,85%",-,-,"0,00%",DE000DDD9R81
249,20.10.2018,"0,84%",-,-,"0,00%",DE000DDD9R81
250,06.10.2018,"0,81%",-,-,"0,00%",DE000DDD9R81
251,11.09.2018,"0,78%",-,-,"0,00%",DE000DDD9R81
252,08.09.2018,"194058,06%",-,-,"0,00%",DE000DDD9R81
253,01.09.2018,"0,75%",-,-,"0,00%",DE000DDD9R81
254,08.08.2018,"0,72%",-,-,"0,00%",DE000DDD9R81
255,26.09.2019,"0,06%",-,-,"0,00%",DE000DDD9R99
256,30.07.2019,"0,06%",-,-,"0,00%",DE000DDD9R99
257,26.03.2019,"0,08%",-,-,"0,00%",DE000DDD9R99
258,19.02.2019,"0,06%",-,-,"0,00%",DE000DDD9R99
259,01.12.2018,"0,91%",-,-,"0,00%",DE000DDD9R99
260,10.11.2018,"0,88%",-,-,"0,00%",DE000DDD9R99
261,09.11.2018,"0,88%",-,-,"0,00%",DE000DDD9R99
