ISIN,Cap,Bewertungstag,Emittent,Brief,Geld
DE000VS05PZ7,9450.0,2019-10-25,Vontobel Financial Products GmbH,94.5,94.49
DE000VS05PY0,9400.0,2019-10-25,Vontobel Financial Products GmbH,94.0,93.99
DE000VS05PX2,9350.0,2019-10-25,Vontobel Financial Products GmbH,93.5,93.49
DE000VS05PW4,10100.0,2019-11-22,Vontobel Financial Products GmbH,101.0,100.99
DE000VS05PV6,10050.0,2019-11-22,Vontobel Financial Products GmbH,100.5,100.49
DE000VS05PU8,10000.0,2019-11-22,Vontobel Financial Products GmbH,100.0,99.99
DE000VS05PT0,9950.0,2019-11-22,Vontobel Financial Products GmbH,99.5,99.49
DE000VS05PS2,9900.0,2019-11-22,Vontobel Financial Products GmbH,99.0,98.99
DE000VS05P27,9600.0,2019-10-25,Vontobel Financial Products GmbH,96.0,95.99
DE000VS05P19,9550.0,2019-10-25,Vontobel Financial Products GmbH,95.5,95.49
DE000VS05P01,9500.0,2019-10-25,Vontobel Financial Products GmbH,95.0,94.99
DE000VS05GR3,10200.0,2019-11-22,Vontobel Financial Products GmbH,102.0,101.99
DE000VS05GQ5,10150.0,2019-11-22,Vontobel Financial Products GmbH,101.5,101.49
DE000VS05GP7,9700.0,2019-10-25,Vontobel Financial Products GmbH,97.0,96.99
DE000VS05GN2,9650.0,2019-10-25,Vontobel Financial Products GmbH,96.5,96.49
DE000VS044Z9,11300.0,2019-11-22,Vontobel Financial Products GmbH,112.85,112.84
DE000VS044Y2,11250.0,2019-11-22,Vontobel Financial Products GmbH,112.37,112.36
DE000VS044X4,11200.0,2019-11-22,Vontobel Financial Products GmbH,111.88,111.87
DE000VS044W6,11150.0,2019-11-22,Vontobel Financial Products GmbH,111.39,111.38
DE000VS044V8,11100.0,2019-11-22,Vontobel Financial Products GmbH,110.91,110.9
DE000VS044U0,11050.0,2019-11-22,Vontobel Financial Products GmbH,110.42,110.41
DE000VS044T2,11000.0,2019-11-22,Vontobel Financial Products GmbH,109.93,109.92
DE000VS044S4,10950.0,2019-11-22,Vontobel Financial Products GmbH,109.44,109.43
DE000VS044R6,10900.0,2019-11-22,Vontobel Financial Products GmbH,108.95,108.94
DE000VS044Q8,10850.0,2019-11-22,Vontobel Financial Products GmbH,108.45,108.44
DE000VS044P0,10800.0,2019-11-22,Vontobel Financial Products GmbH,107.96,107.95
DE000VS044N5,10750.0,2019-11-22,Vontobel Financial Products GmbH,107.47,107.46
DE000VS044M7,10700.0,2019-11-22,Vontobel Financial Products GmbH,106.97,106.96
DE000VS044L9,10650.0,2019-11-22,Vontobel Financial Products GmbH,106.48,106.47
DE000VS044K1,10600.0,2019-11-22,Vontobel Financial Products GmbH,105.98,105.97
DE000VS044J3,10550.0,2019-11-22,Vontobel Financial Products GmbH,105.49,105.48
DE000VS044H7,10500.0,2019-11-22,Vontobel Financial Products GmbH,104.99,104.98
DE000VS044G9,10450.0,2019-11-22,Vontobel Financial Products GmbH,104.5,104.49
DE000VS044F1,10400.0,2019-11-22,Vontobel Financial Products GmbH,104.0,103.99
DE000VS044E4,10350.0,2019-11-22,Vontobel Financial Products GmbH,103.5,103.49
DE000VS044D6,10300.0,2019-11-22,Vontobel Financial Products GmbH,103.0,102.99
DE000VS044C8,10250.0,2019-11-22,Vontobel Financial Products GmbH,102.5,102.49
DE000VS044B0,9800.0,2019-10-25,Vontobel Financial Products GmbH,98.0,97.99
DE000VS044A2,9750.0,2019-10-25,Vontobel Financial Products GmbH,97.5,97.49
DE000VS04460,11650.0,2019-11-22,Vontobel Financial Products GmbH,116.2,116.19
DE000VS04452,11600.0,2019-11-22,Vontobel Financial Products GmbH,115.72,115.71
DE000VS04445,11550.0,2019-11-22,Vontobel Financial Products GmbH,115.25,115.24
DE000VS04437,11500.0,2019-11-22,Vontobel Financial Products GmbH,114.77,114.76
DE000VS04429,11450.0,2019-11-22,Vontobel Financial Products GmbH,114.3,114.29
DE000VS04411,11400.0,2019-11-22,Vontobel Financial Products GmbH,113.82,113.81
DE000VS04403,11350.0,2019-11-22,Vontobel Financial Products GmbH,113.33,113.32
DE000VS043T4,9950.0,2019-10-18,Vontobel Financial Products GmbH,99.5,99.49
DE000VS043S6,9900.0,2019-10-18,Vontobel Financial Products GmbH,99.0,98.99
DE000VS043R8,9850.0,2019-10-18,Vontobel Financial Products GmbH,98.5,98.49
DE000VS043Q0,9800.0,2019-10-18,Vontobel Financial Products GmbH,98.0,97.99
DE000VS043P2,9750.0,2019-10-18,Vontobel Financial Products GmbH,97.5,97.49
